MONTH_NAME,EVENT_TYPE,count(EVENT_ID)
January,Thunderstorm Wind,2280
January,Coastal Flood,115
January,High Surf,477
January,Flood,2352
January,Heavy Rain,725
January,Debris Flow,55
January,WINTER WEATHER,1441
January,Winter Weather,1902
July,Excessive Heat,2480
July,Heavy Rain,1318
July,Dust Storm,52
July,Dust Devil,10
July,Drought,2625
July,Debris Flow,16
July,Tropical Depression,4
July,Landslide,19
July,Flash Flood,4910
July,Dense Fog,62
July,Marine Thunderstorm Wind,1800
July,Hail,12735
July,Heat,2346
July,Wildfire,374
July,Marine Hail,57
July,Rip Current,93
July,High Surf,118
July,Lightning,1368
July,Strong Wind,53
July,Funnel Cloud,468
July,Flood,1123
July,Coastal Flood,5
July,Cold/Wind Chill,4
July,Tornado,681
July,High Wind,153
July,Thunderstorm Wind,23854
July,Tropical Storm,31
July,Waterspout,284
July,Storm Surge/Tide,20
July,High Wind,305
July,Hail,17049
July,Cold/Wind Chill,148
July,Tropical Storm,315
July,Debris Flow,24
July,Flash Flood,5217
July,Drought,1872
July,Marine Thunderstorm Wind,1360
July,Tornado,1477
July,Hurricane (Typhoon),328
July,Waterspout,456
July,Rip Current,80
July,Heavy Wind,4
July,High Surf,110
July,Wildfire,605
July,Dense Fog,67
July,Thunderstorm Wind,28861
July,Strong Wind,114
July,Dust Devil,13
July,Extreme Cold/Wind Chill,12
July,Marine Hail,58
July,Funnel Cloud,614
July,Flood,1529
July,Volcanic Ash,30
July,Dust Storm,49
July,Heat,4341
July,Storm Surge/Tide,39
July,Lightning,2266
July,Heavy Rain,803
June,Frost/Freeze,144
June,Lightning,1084
June,Tornado,1510
June,Waterspout,238
June,Coastal Flood,174
June,High Surf,166
June,Storm Surge/Tide,29
June,Excessive Heat,761
June,Dense Fog,77
June,Hail,23251
June,Marine High Wind,8
June,Drought,2060
June,Tropical Storm,115
June,Heavy Snow,38
June,Rip Current,62
June,Thunderstorm Wind,29532
June,Tsunami,5
June,Winter Storm,6
June,Marine Thunderstorm Wind,2107
June,Strong Wind,156
June,High Wind,837
June,Lakeshore Flood,10
June,Dust Storm,42
June,Flood,2050
June,Landslide,20
June,Winter Weather,33
June,Marine Strong Wind,6
June,Dust Devil,11
June,Funnel Cloud,754
June,Marine Hail,91
June,Wildfire,299
June,Flash Flood,4390
June,Heavy Rain,1084
June,Heat,1117
June,Lightning,1942
June,Heat,856
June,Debris Flow,11
June,Cold/Wind Chill,226
June,WINTER WEATHER,4
June,Dust Storm,35
June,Rip Current,56
June,High Surf,142
June,High Wind,491
June,Extreme Cold/Wind Chill,163
June,Frost/Freeze,30
June,Winter Storm,12
June,Tropical Storm,323
June,Tornado,2581
June,Strong Wind,198
June,Heavy Snow,94
June,Wildfire,249
June,Thunderstorm Wind,27991
June,Dense Fog,49
June,Waterspout,340
June,Funnel Cloud,781
June,Storm Surge/Tide,36
June,Drought,1307
June,Coastal Flood,17
June,Flash Flood,6494
June,Marine Hail,69
June,Flood,2741
June,Heavy Rain,669
June,Hail,26931
June,Dust Devil,14
June,Marine Thunderstorm Wind,946
March,Thunderstorm Wind,3497
March,Coastal Flood,121
March,Marine High Wind,11
March,Lightning,144
March,Strong Wind,775
March,Hail,7528
March,Marine Strong Wind,7
March,Heavy Rain,376
March,Dense Fog,425
March,Ice Storm,113
March,Lakeshore Flood,4
March,Extreme Cold/Wind Chill,146
March,Cold/Wind Chill,66
March,Avalanche,27
March,Heat,58
March,Marine Hail,21
March,Tsunami,13
March,Flash Flood,1329
March,High Wind,2085
March,High Surf,400
March,Drought,1798
March,Blizzard,892
March,Astronomical Low Tide,41
March,Heavy Snow,2310
March,Flood,2418
March,Tornado,811
March,Winter Weather,2427
March,Rip Current,20
March,Frost/Freeze,138
March,Funnel Cloud,186
March,Winter Storm,3026
March,Dust Devil,4
March,Wildfire,265
March,Waterspout,38
March,Dust Storm,22
March,Marine Thunderstorm Wind,430
March,Lake-Effect Snow,38
March,Sleet,16
March,Landslide,46
March,Cold/Wind Chill,525
March,Winter Storm,4826
March,Heavy Snow,5323
March,Blizzard,789
March,WINTER WEATHER,575
March,Drought,918
March,Tornado,930
March,Flood,2231
March,Wildfire,179
March,Dense Fog,349
March,Marine Hail,5
March,Hail,9419
March,Marine Thunderstorm Wind,291
March,High Wind,4035
March,Astronomical Low Tide,5
March,Volcanic Ash,11
March,Sleet,53
March,Frost/Freeze,117
March,Dust Devil,4
March,Funnel Cloud,191
March,Coastal Flood,57
March,Ice Storm,372
March,Avalanche,65
March,Lightning,232
March,Extreme Cold/Wind Chill,111
March,Waterspout,83
March,Heat,476
March,Rip Current,27
March,Strong Wind,1249
March,Dust Storm,17
March,Flash Flood,1759
March,Thunderstorm Wind,5072
March,Debris Flow,10
March,Excessive Heat,120
March,Lake-Effect Snow,8
March,Storm Surge/Tide,52
March,High Surf,252
March,Winter Weather,776
March,Heavy Rain,706
May,Hail,20757
May,High Surf,74
May,Blizzard,27
May,Cold/Wind Chill,61
May,Winter Weather,177
May,Coastal Flood,56
May,Lakeshore Flood,10
May,Marine Thunderstorm Wind,789
May,Heavy Snow,202
May,Tropical Depression,10
May,Lightning,523
May,High Wind,1497
May,Marine High Wind,13
May,Flash Flood,3644
May,Waterspout,124
May,Thunderstorm Wind,13547
May,Winter Storm,190
May,Frost/Freeze,515
May,Landslide,45
May,Heat,62
May,Dust Storm,44
May,Marine Hail,44
May,Astronomical Low Tide,7
May,Marine Strong Wind,8
May,Tropical Storm,48
May,Excessive Heat,7
May,Heavy Rain,708
May,Strong Wind,461
May,Seiche,6
May,Dust Devil,21
May,Debris Flow,8
May,Funnel Cloud,437
May,Tornado,2205
May,Dense Fog,205
May,Drought,1811
May,Wildfire,178
May,Flood,2325
May,Rip Current,61
May,Dense Fog,139
May,Winter Storm,175
May,Storm Surge/Tide,44
May,Waterspout,228
May,Heat,307
May,High Wind,1236
May,Winter Weather,31
May,Avalanche,6
May,Rip Current,49
May,Tornado,3361
May,Blizzard,9
May,High Surf,116
May,Flood,2888
May,Hail,33879
May,Debris Flow,64
May,Lightning,1212
May,Cold/Wind Chill,399
May,Strong Wind,297
May,Marine Thunderstorm Wind,741
May,Ice Storm,5
May,Frost/Freeze,368
May,Dust Storm,29
May,Coastal Flood,19
May,Marine Hail,30
May,WINTER WEATHER,22
May,Drought,1328
May,Heavy Snow,312
May,Flash Flood,4476
May,Funnel Cloud,713
May,Volcanic Ash,6
May,Heavy Rain,735
May,Excessive Heat,97
May,Extreme Cold/Wind Chill,101
May,Thunderstorm Wind,21370
May,Wildfire,208
May,Dust Devil,16
November,Winter Storm,720
November,Thunderstorm Wind,754
November,Marine Thunderstorm Wind,142
November,Marine High Wind,12
November,Lightning,28
November,Waterspout,31
November,Extreme Cold/Wind Chill,26
November,Wildfire,66
November,Tropical Storm,122
November,Tornado,157
November,Marine Strong Wind,12
November,Dense Fog,641
November,Avalanche,4
November,Coastal Flood,102
November,Storm Surge/Tide,6
November,Rip Current,8
November,Winter Weather,1076
November,Dust Storm,7
November,High Surf,269
November,Hail,554
November,Landslide,7
November,Flash Flood,212
November,Tropical Depression,40
November,Heavy Rain,250
November,Ice Storm,20
November,Debris Flow,4
November,Drought,2180
November,Heavy Snow,832
November,Funnel Cloud,21
November,Flood,275
November,Frost/Freeze,223
November,Cold/Wind Chill,9
November,High Wind,1521
November,Heat,12
November,Blizzard,204
November,Lake-Effect Snow,124
November,Strong Wind,424
November,Winter Storm,2177
November,Debris Flow,49
November,Tropical Storm,24
November,Flood,865
November,Storm Surge/Tide,49
November,Flash Flood,1365
November,Drought,1152
November,Hail,1403
November,Blizzard,415
November,Marine Thunderstorm Wind,269
November,Dust Storm,12
November,Heavy Rain,419
November,Cold/Wind Chill,130
November,Coastal Flood,40
November,Avalanche,10
November,Ice Storm,393
November,High Surf,291
November,High Wind,3720
November,Hurricane (Typhoon),22
November,Northern Lights,8
November,Heat,322
November,Frost/Freeze,119
November,Tornado,840
November,Lake-Effect Snow,32
November,Thunderstorm Wind,3532
November,Dense Fog,447
November,Winter Weather,375
November,Heavy Snow,2369
November,WINTER WEATHER,357
November,Waterspout,62
November,Rip Current,13
November,Lightning,79
November,Wildfire,116
November,Funnel Cloud,85
November,Extreme Cold/Wind Chill,86
November,Strong Wind,911
November,Seiche,7
October,Marine Hail,5
October,Hail,1569
October,Landslide,36
October,Dust Storm,35
October,Lake-Effect Snow,7
October,Marine Thunderstorm Wind,366
October,Winter Weather,505
October,Tornado,446
October,Winter Storm,538
October,Waterspout,124
October,Marine Tropical Storm,6
October,Excessive Heat,4
October,Wildfire,117
October,High Surf,197
October,Coastal Flood,204
October,Strong Wind,607
October,High Wind,2318
October,Tropical Storm,47
October,Marine High Wind,71
October,Thunderstorm Wind,2845
October,Tropical Depression,8
October,Cold/Wind Chill,50
October,Avalanche,4
October,Dense Fog,277
October,Drought,2765
October,Heavy Rain,495
October,Flash Flood,953
October,Flood,644
October,Rip Current,16
October,Blizzard,114
October,Storm Surge/Tide,27
October,Frost/Freeze,1109
October,Heavy Snow,566
October,Funnel Cloud,87
October,Marine Strong Wind,8
October,Lightning,108
October,Coastal Flood,59
October,Thunderstorm Wind,2971
October,Blizzard,183
October,WINTER WEATHER,100
October,Lightning,185
October,Hail,2572
October,High Surf,236
October,Marine Thunderstorm Wind,285
October,Heavy Snow,708
October,Wildfire,138
October,Winter Storm,485
October,Strong Wind,469
October,Flash Flood,1680
October,Tropical Storm,240
October,Drought,1406
October,Extreme Cold/Wind Chill,336
October,Storm Surge/Tide,109
October,Tornado,706
October,Hurricane (Typhoon),126
October,Debris Flow,16
October,Rip Current,30
October,Ice Storm,33
October,High Wind,2236
October,Heat,36
October,Dust Storm,18
October,Frost/Freeze,457
October,Waterspout,141
October,Winter Weather,91
October,Funnel Cloud,145
October,Dense Fog,252
October,Cold/Wind Chill,199
October,Flood,1036
October,Heavy Rain,612
October,Marine Hail,6
September,Thunderstorm Wind,11208
September,Dust Storm,58
September,Cold/Wind Chill,137
September,Waterspout,551
September,Drought,5169
September,High Surf,444
September,Landslide,19
September,Lightning,902
September,Astronomical Low Tide,5
September,Marine High Wind,29
September,Rip Current,104
September,Frost/Freeze,284
September,Heavy Snow,126
September,Extreme Cold/Wind Chill,209
September,Hurricane (Typhoon),838
September,Excessive Heat,220
September,Coastal Flood,115
September,Marine Hail,28
September,Wildfire,573
September,Dense Fog,392
September,Tornado,1474
September,Debris Flow,41
September,Tropical Storm,1715
September,Flash Flood,6313
September,Tropical Depression,86
September,Hail,8808
September,Funnel Cloud,449
September,Winter Weather,38
September,Strong Wind,858
September,Volcanic Ash,12
September,High Wind,2291
September,Flood,2630
September,Storm Surge/Tide,304
September,Heavy Rain,1711
September,WINTER WEATHER,27
September,Marine Thunderstorm Wind,1130
September,Winter Storm,52
September,Dust Devil,8
September,Heat,542
